contract_path,attack_vectors,primary_vector,root_cause,confidence,model,classified_at,error
src/test/2017-11/Parity_kill_exp.sol,AV14,AV14,The contract allows an attacker to initialize and take ownership without proper access control.,0.9,gpt-4o-mini,2026-06-27T03:40:28.797290+00:00,
src/test/2018-04/BEC_exp.sol,"AV10,AV05",AV10,The exploit takes advantage of a fee-on-transfer mechanism that incorrectly assumes the transfer amount equals the balance delta.,0.85,gpt-4o-mini,2026-06-27T03:40:28.946107+00:00,
src/test/2018-04/SmartMesh_exp.sol,"AV07,AV19",AV07,The exploit relies on signature replay to manipulate token transfers.,0.85,gpt-4o-mini,2026-06-27T03:40:28.946384+00:00,
src/test/2018-10/SpankChain_exp.sol,"AV04,AV05",AV04,The exploit relies on a flash loan to manipulate the SpankChain protocol's channel creation and timeout functions.,0.9,gpt-4o-mini,2026-06-27T03:40:28.946644+00:00,
src/test/2020-04/LendfMe_exp.sol,"AV17,AV03",AV17,Malicious logic in transfer hooks allows the attacker to manipulate token transfers to exploit the victim's funds.,0.9,gpt-4o-mini,2026-06-27T03:40:28.948587+00:00,
src/test/2020-06/Balancer_20200628_exp.sol,"AV04,AV20",AV20,"The exploit manipulates liquidity pool balances through a series of swaps, leading to profit extraction.",0.9,gpt-4o-mini,2026-06-27T03:40:28.953459+00:00,
src/test/2020-06/Bancor_exp.sol,"AV03,AV06",AV03,"The Bancor contract's 'safeTransferFrom' function is public, allowing unauthorized transfers due to missing access control.",0.9,gpt-4o-mini,2026-06-27T03:40:28.957670+00:00,
src/test/2020-08/Opyn_exp.sol,"AV02,AV05,AV04",AV02,The attacker manipulated the price of collateral options to mint tokens at an incorrect valuation.,0.9,gpt-4o-mini,2026-06-27T03:40:28.958791+00:00,
src/test/2020-09/bzx_exp.sol,"AV04,AV05",AV04,The exploit relies on a flash loan to manipulate token transfers and balances.,0.9,gpt-4o-mini,2026-06-27T03:40:28.960114+00:00,
src/test/2020-10/HarvestFinance_exp.sol,"AV04,AV05",AV04,The exploit relies on flash loans to manipulate token swaps and extract value from the protocol.,0.9,gpt-4o-mini,2026-06-27T03:40:28.961038+00:00,
src/test/2020-11/Pickle_exp.sol,"AV06,AV04",AV06,"The exploit allows for arbitrary external calls to be made, enabling the attacker to manipulate contract behavior and extract funds.",0.9,gpt-4o-mini,2026-06-27T03:40:31.503859+00:00,
src/test/2020-12/Cover_exp.sol,"AV05,AV19",AV05,Flawed logic in reward claiming allows for incorrect reward calculations.,0.8,gpt-4o-mini,2026-06-27T03:40:31.541650+00:00,
src/test/2021-01/Sushi_Badger_Digg_exp.sol,"AV20,AV04",AV20,The exploit manipulates liquidity pools by creating a fake pair and extracting value through liquidity removal.,0.9,gpt-4o-mini,2026-06-27T03:40:32.334110+00:00,
src/test/2021-02/Yearn_ydai_exp.sol,"AV02,AV20,AV05",AV02,The exploit manipulates the liquidity pool to extract tokens at an incorrect price due to imbalanced liquidity.,0.85,gpt-4o-mini,2026-06-27T03:40:32.571857+00:00,
src/test/2021-03/PAID_exp.sol,AV12,AV12,The attack relies on a compromised key to mint tokens.,0.9,gpt-4o-mini,2026-06-27T03:40:32.771603+00:00,
src/test/2021-03/dodo_flashloan_exp.sol,"AV04,AV05",AV04,The exploit relies on a flash loan to manipulate token balances and transfer them to the attacker's wallet.,0.9,gpt-4o-mini,2026-06-27T03:40:33.083294+00:00,
src/test/2021-04/Uranium_exp.sol,"AV02,AV20",AV02,The exploit manipulates the liquidity pool's reserves to extract funds at an incorrect price.,0.9,gpt-4o-mini,2026-06-27T03:40:33.161975+00:00,
src/test/2021-05/BurgerSwap_exp.sol,"AV04,AV20",AV20,The exploit manipulates liquidity pool balances to extract value through a series of token swaps and flash loans.,0.9,gpt-4o-mini,2026-06-27T03:40:33.230638+00:00,
src/test/2021-05/JulSwap_exp.sol,"AV02,AV04,AV19",AV02,The exploit manipulates the price during swaps to extract value at an incorrect price.,0.85,gpt-4o-mini,2026-06-27T03:40:33.293458+00:00,
src/test/2021-05/PancakeBunny_exp.sol,"AV02,AV04",AV02,The exploit manipulates the price oracle to gain an unfair advantage in trading and liquidity provision.,0.9,gpt-4o-mini,2026-06-27T03:40:34.311395+00:00,
src/test/2021-05/RariCapital_exp.sol,"AV06,AV03",AV06,"The exploit relies on an arbitrary external call to a vulnerable contract, allowing the attacker to manipulate funds.",0.9,gpt-4o-mini,2026-06-27T03:40:34.465302+00:00,
src/test/2021-05/Spartan_exp.sol,"AV04,AV20",AV20,The exploit manipulates liquidity pool balances to withdraw more assets than normal due to flawed accounting in the removeLiquidity function.,0.9,gpt-4o-mini,2026-06-27T03:40:34.899140+00:00,
src/test/2021-05/ValueDefi_exp.sol,"AV04,AV05,AV19",AV04,The exploit relies on a flash loan to manipulate the vault's state and extract funds.,0.9,gpt-4o-mini,2026-06-27T03:40:35.010030+00:00,
src/test/2021-05/bEarn_exp.sol,"AV04,AV05",AV04,The exploit relies on a flash loan to manipulate the vault's deposit and withdrawal logic.,0.9,gpt-4o-mini,2026-06-27T03:40:35.016000+00:00,
src/test/2021-06/88mph_exp.sol,"AV14,AV03",AV14,The vulnerability arises from an unprotected init() function that allows an attacker to become the owner of the NFT contract.,0.9,gpt-4o-mini,2026-06-27T03:40:35.016421+00:00,
src/test/2021-06/Eleven_exp.sol,"AV04,AV05",AV04,The exploit relies on a flash loan to manipulate liquidity and withdraw funds from the vault.,0.9,gpt-4o-mini,2026-06-27T03:40:35.047262+00:00,
src/test/2021-06/PancakeHunny_exp.sol,"AV04,AV05,AV19",AV04,The exploit relies on a flash loan to manipulate the minting of HUNNY tokens by tricking the HUNNY Minter contract.,0.85,gpt-4o-mini,2026-06-27T03:40:36.515486+00:00,
src/test/2021-06/SafeDollar_exp.sol,"AV02,AV04",AV02,The exploit manipulates the price oracle to execute profitable swaps and withdrawals at incorrect prices.,0.9,gpt-4o-mini,2026-06-27T03:40:36.643254+00:00,
src/test/2021-06/xWin_exp.sol,"AV02,AV04",AV02,"The exploit was due to invalid slippage control in the protocol, allowing manipulation of prices during a flash loan.",0.9,gpt-4o-mini,2026-06-27T03:40:36.661700+00:00,
src/test/2021-07/Chainswap_exp1.sol,"AV07,AV03",AV07,The exploit relies on signature replay and validation bypass on signed messages.,0.9,gpt-4o-mini,2026-06-27T03:40:36.698621+00:00,
src/test/2021-07/Chainswap_exp2.sol,"AV07,AV04",AV07,The exploit relies on signature replay to manipulate contract calls.,0.9,gpt-4o-mini,2026-06-27T03:40:37.021753+00:00,
src/test/2021-07/Levyathan_exp.sol,"AV03,AV12",AV03,"The private keys to a wallet with minting capability were publicly available, allowing unauthorized ownership transfer.",0.9,gpt-4o-mini,2026-06-27T03:40:37.110460+00:00,
src/test/2021-08/Cream_exp.sol,"AV04,AV02,AV06",AV02,The exploit manipulates the price oracle to borrow and liquidate at incorrect prices using flash loans.,0.9,gpt-4o-mini,2026-06-27T03:40:37.213065+00:00,
src/test/2021-08/PolyNetwork_exp.sol,"AV03,AV11",AV03,"The EthCrossChainManager contract lacks proper access control, allowing unauthorized users to trigger critical functions.",0.9,gpt-4o-mini,2026-06-27T03:40:37.786951+00:00,
src/test/2021-08/Popsicle_exp.sol,"AV04,AV05,AV19",AV04,The exploit relies on a flash loan to manipulate vault deposits and fee collection.,0.9,gpt-4o-mini,2026-06-27T03:40:38.218135+00:00,
src/test/2021-08/WaultFinance_exp.sol,"AV04,AV15,AV19",AV04,The exploit relies on flash loans to manipulate token swaps and extract profits.,0.9,gpt-4o-mini,2026-06-27T03:40:38.320284+00:00,
